Header	RF	SVM
>Sequence1601	0.35	0.731
>Sequence1602	0.4	0.8
>Sequence1603	0.5	0.289
>Sequence1604	0.5	0.386
>Sequence1605	0.4	0.384
>Sequence1606	0.3	0.717
>Sequence1607	0.3	0.229
>Sequence1608	0.25	0.276
>Sequence1609	0.45	0.803
>Sequence1610	0.45	0.695
>Sequence1611	0.45	0.755
>Sequence1612	0.45	0.335
>Sequence1613	0.5	0.692
>Sequence1614	0.45	0.283
>Sequence1615	0.5	0.68
>Sequence1616	0.4	0.794
>Sequence1617	0.4	0.671
>Sequence1618	0.55	0.297
>Sequence1619	0.35	0.703
>Sequence1620	0.65	0.19
>Sequence1621	0.5	0.796
>Sequence1622	0.35	0.376
>Sequence1623	0.4	0.446
>Sequence1624	0.6	0.115
>Sequence1625	0.45	0.308
>Sequence1626	0.35	0.247
>Sequence1627	0.45	0.742
>Sequence1628	0.45	0.792
>Sequence1629	0.4	0.515
>Sequence1630	0.45	0.665
>Sequence1631	0.45	0.34
>Sequence1632	0.4	0.526
>Sequence1633	0.4	0.315
>Sequence1634	0.5	0.772
>Sequence1635	0.45	0.182
>Sequence1636	0.4	0.708
>Sequence1637	0.55	0.667
>Sequence1638	0.45	0.657
>Sequence1639	0.45	0.55
>Sequence1640	0.5	0.173
>Sequence1641	0.55	0.338
>Sequence1642	0.6	0.295
>Sequence1643	0.4	0.715
>Sequence1644	0.4	0.044
>Sequence1645	0.5	0.218
>Sequence1646	0.4	0.249
>Sequence1647	0.35	0.802
>Sequence1648	0.55	0.622
>Sequence1649	0.5	0.748
>Sequence1650	0.45	0.677
>Sequence1651	0.4	0.616
>Sequence1652	0.4	0.121
>Sequence1653	0.5	0.177
>Sequence1654	0.55	0.435
>Sequence1655	0.45	0.771
>Sequence1656	0.45	0.771
>Sequence1657	0.5	0.609
>Sequence1658	0.5	0.25
>Sequence1659	0.55	0.538
>Sequence1660	0.5	0.804
>Sequence1661	0.4	0.414
>Sequence1662	0.5	0.341
>Sequence1663	0.45	0.721
>Sequence1664	0.5	0.251
>Sequence1665	0.4	0.129
>Sequence1666	0.35	0.64
>Sequence1667	0.5	0.252
>Sequence1668	0.55	0.796
>Sequence1669	0.45	0.262
>Sequence1670	0.25	0.185
>Sequence1671	0.45	0.267
>Sequence1672	0.45	0.168
>Sequence1673	0.45	0.45
>Sequence1674	0.45	0.349
>Sequence1675	0.4	0.236
>Sequence1676	0.55	0.211
>Sequence1677	0.35	0.283
>Sequence1678	0.35	0.413
>Sequence1679	0.45	0.733
>Sequence1680	0.55	0.377
>Sequence1681	0.65	0.318
>Sequence1682	0.45	0.239
>Sequence1683	0.35	0.231
>Sequence1684	0.5	0.709
>Sequence1685	0.35	0.113
>Sequence1686	0.45	0.576
>Sequence1687	0.45	0.304
>Sequence1688	0.2	0.22
>Sequence1689	0.35	0.258
>Sequence1690	0.35	0.789
>Sequence1691	0.45	0.561
>Sequence1692	0.45	0.553
>Sequence1693	0.35	0.422
>Sequence1694	0.4	0.598
>Sequence1695	0.4	0.459
>Sequence1696	0.4	0.217
>Sequence1697	0.5	0.227
>Sequence1698	0.4	0.185
>Sequence1699	0.55	0.235
>Sequence1700	0.35	0.211
